section,subsection,content
Course Title,,ThecoursegivesstudentsanideaaboutCloudComputingfundamentals
Objectives,,Toprovidecomprehensiveknowledgeofcloudcomputingandaspects
Unit,Unit 8,DigitalImageProcessing
Unit,Unit 1,Introductiontocomputergraphics
Unit,Unit 2,2Dtransformation
Unit,Unit 3,2Dviewing
Unit,Unit 4,3DConcepts
Unit,Unit 5,VisiblesurfaceDetections
Unit,Unit 6,VisualRealism
Unit,Unit 7,Animation
References,,"Literature1.Silberschatz,Korth,Sudarshan,DatabaseSystemConcepts,McGraw-Hill"
