section,subsection,content
Course Title,,"introduce the fundamentals of computing devices and reinforce computer vocabulary,"
Description,,"This course introduce the fundamentals of computing devices and reinforce computer vocabulary,"
Learning Outcomes,,"Upon completion of this course, students will able to:  
• Understand concepts of computer component  
• Manage the documents, presentation and gain practical exposure on spreadsheet using office"
References,,Books:
