section,subsection,content
Course Title,,"ObjectiveAfterlearningthesubject,studentswillbeabletounderstand,"
Objectives,,CEligibility
Unit,Unit 1,IntroductiontoMolecularBiology:DNAandRNA (Duration:08Hrs)
Unit,Unit 2,ProteinsynthesisandPostTranscriptionalModifications(Duration:08Hrs)
Assessment,,"5.2ContainmentLevels
5.3ContainmentinAnimallab
5.4ContainmentinPlanttissuecultureLab
5.5ContainmentinMicrobiologicallab"
References,,"1.StandardMethodsforExaminationofWater&Wastewater,AndrewD.Eaton,"
